date,value
1985-01-02,1618.4305
1985-01-09,1610.0913
1985-01-16,1618.4778
1985-01-23,1622.5393
1985-01-30,1614.6794
1985-02-06,1623.6434
1985-02-13,1627.6153
1985-02-20,1636.4484
1985-02-27,1638.4305
1985-03-06,1637.4201
1985-03-13,1639.7739
1985-03-20,1645.9736
1985-03-27,1648.9986
1985-04-03,1660.5582
1985-04-10,1662.2145
1985-04-17,1652.9343
1985-04-24,1663.2195
1985-05-01,1676.5124
1985-05-08,1669.5667
1985-05-15,1687.5011
1985-05-22,1672.9569
1985-05-29,1671.4749
1985-06-05,1682.1493
1985-06-12,1689.8281
1985-06-19,1691.4777
1985-06-26,1687.4522
1985-07-03,1686.4223
1985-07-10,1694.8117
1985-07-17,1682.1911
1985-07-24,1706.6409
1985-07-31,1700.8403
1985-08-07,1704.6007
1985-08-14,1700.8426
1985-08-21,1710.386
1985-08-28,1705.7012
1985-09-04,1725.6562
1985-09-11,1711.5278
1985-09-18,1723.4396
1985-09-25,1719.405
1985-10-02,1736.1591
1985-10-09,1720.8499
1985-10-16,1739.3568
1985-10-23,1733.7127
1985-10-30,1730.3076
1985-11-06,1732.0586
1985-11-13,1743.9865
1985-11-20,1737.6022
1985-11-27,1756.0729
1985-12-04,1755.1578
1985-12-11,1761.7279
1985-12-18,1754.0816
1985-12-25,1765.8553
1986-01-01,1768.659
1986-01-08,1763.4091
1986-01-15,1765.7804
1986-01-22,1768.1285
1986-01-29,1752.8059
1986-02-05,1772.1771
1986-02-12,1761.0513
1986-02-19,1776.4494
1986-02-26,1763.3349
1986-03-05,1780.9399
1986-03-12,1778.043
1986-03-19,1779.3427
1986-03-26,1788.808
1986-04-02,1791.0569
1986-04-09,1789.1815
1986-04-16,1791.3293
1986-04-23,1798.767
1986-04-30,1806.0406
1986-05-07,1799.3349
1986-05-14,1804.9721
1986-05-21,1801.9617
1986-05-28,1812.35
1986-06-04,1808.6906
1986-06-11,1815.7644
1986-06-18,1806.5108
1986-06-25,1826.8583
1986-07-02,1824.8824
1986-07-09,1831.1233
1986-07-16,1837.3726
1986-07-23,1840.6279
1986-07-30,1834.583
1986-08-06,1844.5322
1986-08-13,1842.7464
1986-08-20,1855.8745
1986-08-27,1866.276
1986-09-03,1868.2428
1986-09-10,1852.2051
1986-09-17,1866.6039
1986-09-24,1863.593
1986-10-01,1885.7948
1986-10-08,1863.2019
1986-10-15,1890.2345
1986-10-22,1869.2796
1986-10-29,1867.2866
1986-11-05,1880.6142
1986-11-12,1902.7421
1986-11-19,1876.3132
1986-11-26,1908.3908
1986-12-03,1900.2827
1986-12-10,1912.3027
1986-12-17,1906.3311
1986-12-24,1938.0138
1986-12-31,1951.4835
1987-01-07,1925.0302
1987-01-14,1908.2364
1987-01-21,1921.1831
1987-01-28,1923.5979
1987-02-04,1920.0035
1987-02-11,1913.0965
1987-02-18,1924.7911
1987-02-25,1918.6716
1987-03-04,1930.1976
1987-03-11,1930.1811
1987-03-18,1928.3661
1987-03-25,1935.3798
1987-04-01,1953.7927
1987-04-08,1932.2024
1987-04-15,1969.1909
1987-04-22,1945.9467
1987-04-29,1937.8976
1987-05-06,1940.2754
1987-05-13,1942.1001
1987-05-20,1954.1393
1987-05-27,1962.4867
1987-06-03,1942.1665
1987-06-10,1956.7066
1987-06-17,1942.3336
1987-06-24,1965.8784
1987-07-01,1968.0945
1987-07-08,1943.2847
1987-07-15,1969.1843
1987-07-22,1955.2396
1987-07-29,1950.0266
1987-08-05,1964.5401
1987-08-12,1964.7359
1987-08-19,1959.5985
1987-08-26,1967.7552
1987-09-02,1951.1185
1987-09-09,1963.1817
1987-09-16,1971.3128
1987-09-23,1965.8651
1987-09-30,1975.5698
1987-10-07,1962.0354
1987-10-14,1977.1585
1987-10-21,1983.095
1987-10-28,1996.8239
1987-11-04,1992.1054
1987-11-11,1985.1916
1987-11-18,1977.5612
1987-11-25,1989.0266
1987-12-02,1979.176
1987-12-09,1985.3039
1987-12-16,1993.548
1987-12-23,1998.4071
1987-12-30,1965.2952
1988-01-06,1996.5842
1988-01-13,1994.3143
1988-01-20,2006.497
1988-01-27,2002.086
1988-02-03,2004.4833
1988-02-10,2006.5992
1988-02-17,2017.8684
1988-02-24,1995.0008
1988-03-02,2011.4479
1988-03-09,2006.1907
1988-03-16,2025.0894
1988-03-23,2025.2525
1988-03-30,2008.163
1988-04-06,2024.6841
1988-04-13,2015.5532
1988-04-20,2029.2462
1988-04-27,2034.0409
1988-05-04,2044.2414
1988-05-11,2045.518
1988-05-18,2040.8573
1988-05-25,2041.6386
1988-06-01,2068.6286
1988-06-08,2051.8077
1988-06-15,2080.3623
1988-06-22,2064.228
1988-06-29,2041.3238
1988-07-06,2076.4182
1988-07-13,2060.4025
1988-07-20,2069.6675
1988-07-27,2078.5328
1988-08-03,2074.0314
1988-08-10,2075.6633
1988-08-17,2071.0125
1988-08-24,2084.5426
1988-08-31,2070.1268
1988-09-07,2082.5269
1988-09-14,2081.8475
1988-09-21,2083.889
1988-09-28,2070.361
1988-10-05,2092.1764
1988-10-12,2097.477
1988-10-19,2085.3578
1988-10-26,2099.4029
1988-11-02,2103.2773
1988-11-09,2091.6355
1988-11-16,2111.452
1988-11-23,2113.5095
1988-11-30,2110.8961
1988-12-07,2117.9929
1988-12-14,2117.2653
1988-12-21,2112.5306
1988-12-28,2108.4964
1989-01-04,2130.3256
1989-01-11,2127.9428
1989-01-18,2121.6698
1989-01-25,2123.123
1989-02-01,2139.4631
1989-02-08,2123.0499
1989-02-15,2132.3765
1989-02-22,2131.8791
1989-03-01,2165.0026
1989-03-08,2131.3243
